pref,city,name,zip,addr,phone,note
三重県,四日市市,あがた保育園子育て支援センター,5121204,四日市市赤水町９６６－１,,
三重県,四日市市,いずみ保育園 ふれあいルーム,5120912,四日市市三重六丁目１２９,,
三重県,四日市市,こっこ保育園子育て支援センター あかまんま,5100000,四日市市日野町字道の上９８６－１,,
三重県,四日市市,たいすい中央保育園,5100074,四日市市鵜の森一丁目10-20,,
三重県,四日市市,たいすい子育て支援センター 『タイスイ キッズ クラブ』,5100943,四日市市西日野町字今郷１８７１－７,,
三重県,四日市市,ひよこ保育園子育て支援センター,5100942,四日市市東日野町字城山１６１１－１６,,
三重県,四日市市,みのり保育所子育て支援センター たんぽぽ,5100003,四日市市大宮町２６－５,,
三重県,四日市市,三原子育て支援センター,5100891,四日市市日永西３丁目１－２１,,
三重県,四日市市,下野中央保育園子育て支援センター,5128054,四日市市朝明町４９８－１,,
三重県,四日市市,塩浜子育て支援センター,5100000,四日市市大字塩浜887-1,,
三重県,四日市市,大矢知保育園 子育て支援センター,5108021,四日市市松寺一丁目１１－１２,,
三重県,四日市市,大谷大保育園子育て広場,5120901,四日市市大谷台１丁目８２,,
三重県,四日市市,日の本保育園「子育て支援センター」,5108015,四日市市松原町３－３,,
三重県,四日市市,桜花台こどもクリニック子育て支援センター,5121216,四日市市桜花台１丁目４５－１,,
三重県,四日市市,橋北子育て支援センター,5100023,四日市市午起1-3-13,,
三重県,四日市市,海蔵保育園 子育て支援センター,5100812,四日市市西阿倉川８８３－１,,
三重県,四日市市,笹川保育園 子育て支援センター,5100944,四日市市笹川６丁目２９－１,,
三重県,多気町,多気町子育て支援センター ＜のびのび＞,5192183,多気郡多気町四疋田５９４,,
三重県,多気郡多気町,多気町子育て支援センター「のびのび」,5192183,多気郡多気町四疋田587-1,,
三重県,多気郡明和町,子育て支援センター「いちごくらぶ」,5150321,多気郡明和町斎宮北野3535-1,,
三重県,大台町,大台町子育て支援センター,5192400,多気郡大台町大字栗生1010,,
三重県,大紀町,大紀町地域子育て支援センター,5193111,度会郡大紀町大内山８６１－１ 大内山健康福祉センター内,,
三重県,大紀町,大紀町地域子育て支援センター きらり,5192703,度会郡大紀町滝原１８８８－５ 大宮保育園内,,
三重県,尾鷲市,子育て支援センター 「ちびっこ広場」,5193663,尾鷲市宮ノ上町８番１号 尾鷲第二保育園内,,
三重県,尾鷲市,子育て支援センターちびっこひろば,5193663,尾鷲市宮ﾉ上町8-1(尾鷲第二保育園内),,
三重県,川越町,ひばり保育園子育て支援センター（よっかいち諧朋苑）,5108122,三重郡川越町豊田８５－１,,
三重県,川越町,川越町子育て支援センター,5108123,三重郡川越町大字豊田一色２３５－１,,
三重県,度会町,度会町子育て支援センター,5162103,度会郡度会町棚橋1453-2,,
三重県,度会郡大紀町,大紀町地域子育て支援センター「きらり」,5192703,度会郡大紀町滝原1888番地5 大宮保育園内,,
三重県,度会郡大紀町,大紀町地域子育て支援センター「すくすく」,5193111,度会郡大紀町大内山861番地1,,
三重県,御浜町,御浜町子育て支援室「おひさま」,5195204,三重県南牟婁郡御浜町大字阿田和6120番地1,05979-3-0508,town.mihama.mie.jp/.../816.html
三重県,志摩市,子育て支援センター わくわくの森,5170502,志摩市阿児町神明８７８－７８,,
三重県,志摩市,志摩市志摩子育て支援センター,5170703,志摩市志摩町和具６６０番地,,
三重県,志摩市,志摩市磯部子育て支援センター,5170209,志摩市磯部町恵利原1275番地,,
三重県,志摩市,浜島子育て支援センター,5170404,志摩市浜島町浜島709番地(浜島幼保園内),,
三重県,明和町,いちごくらぶ,5150321,多気郡明和町斎宮北野３５３５－１,,
三重県,明和町,おひさまひろば,5150300,多気郡明和町大字馬之上944-5,,
三重県,明和町,こあら,5150300,多気郡明和町大字明星1060,,
三重県,明和町,なりひら地域子育て支援センター,5150300,多気郡明和町尾大字大堀川新田９,,
三重県,明和町,児童センター,5150300,多気郡明和町大字上村1419番地,,
三重県,朝日町,朝日町子育て支援センター,5100000,三重郡朝日町大字２０６８－１,,
三重県,木曽岬町,木曽岬町子育て支援センター,4980000,桑名郡木曽岬町大字西対海地250番地,,
三重県,東員町,東員町子育て支援センター,5110255,員弁郡東員町大字長深６９０,,
三重県,松阪市,いきいきわくわく子育てひろば,5150044,松阪市久保町1245番地,,
三重県,松阪市,かんがるー,5151302,松阪市飯南町横野885番地(飯南ふれあいｾﾝﾀｰ内),,
三重県,松阪市,げんきっこ,5152114,松阪市小津町577番地3(三雲南幼児園内),,
三重県,松阪市,こどもセンターわかすぎ,5152321,松阪市嬉野中川町1881番地,,
三重県,松阪市,こどもセンターわかすぎ第三,5152108,松阪市甚目町６５３－１,,
三重県,松阪市,こどもセンターわかすぎ第二,5150054,松阪市立野町518番地,,
三重県,松阪市,さくらキッズ,5150822,松阪市大足町701番地1,,
三重県,松阪市,じゃれっこひろば,5150818,松阪市川井町338番地2,,
三重県,松阪市,ふれんず,5150816,松阪市西之庄町150番地(第三小学校内ふれあい会館2階),,
三重県,松阪市,わくわくの森,5152356,松阪市嬉野上野町1304番地9,,
三重県,松阪市,地域子育て支援センター 「なかよし広場」,5150051,松阪市光町３１－４ 山室山保育園内,,
三重県,松阪市,子育て支援センター かんがるー,5151302,松阪市飯南町横野８８５ 飯南ふれあいセンター内,,
三重県,松阪市,子育て支援センター げんきっこ,5152114,松阪市小津町５７７－３ 三雲南幼児園内,,
三重県,松阪市,子育て支援センター ふれんず,5150816,松阪市西之庄町１５０ 第三小学校内ふれあい会館２階,,
三重県,松阪市,子育て支援センター 森のくまさん,5151107,松阪市阪内町１９７ 旧阪内幼稚園,,
三重県,松阪市,森のくまさん,5151107,松阪市阪内町197番地(旧阪内幼稚園),,
三重県,桑名市,多度保育園子育て支援センター,5110101,桑名市多度町柚井1775,,
三重県,桑名市,子育て憩いの広場,5110000,桑名市鍛冶町９,,
