file	line	pref	city	name	addr	reason
香川県.csv	138	香川県	香川郡直島町	なおしまキッズポート	香川郡直島町3694-1	no-deterministic-match
香川県.csv	197	香川県	高松市	高松市塩江こども園	高松市塩江町安原下第１号887	ambiguous-town-5
香川県.csv	226	香川県	高松市	高松市立弦打保育所	高松市鶴市町359-1	ambiguous-town-2
香川県.csv	227	香川県	高松市	高松市立弦打幼稚園	高松市鶴市町360	ambiguous-town-2
高知県.csv	37	高知県	梼原町	梼原町地域子育て支援センター「カンガルーのおなか」	梼原町梼原1212番地2（雲の上の図書館内）	no-deterministic-match
高知県.csv	39	高知県	田野町	遊分舎（あそぶんじゃ	安芸郡田野町1488番地1	no-deterministic-match
高知県.csv	60	高知県	高知市	地域子育て支援センター「ぽけっとランド」	高知市鴨部860-1（西部健康福祉センター内）	ambiguous-town-2
鹿児島県.csv	45	鹿児島県	日置市	子育て支援センター You・ゆう	日置市日吉町吉利3018	ambiguous-town-2
鹿児島県.csv	57	鹿児島県	瀬戸内町	すこやか福祉センター	大島郡瀬戸内町古仁屋船津23	ambiguous-town-8
鹿児島県.csv	86	鹿児島県	鹿児島市	地域子育て支援センター はらっぱ	鹿児島市緑ヶ丘町5-5	ambiguous-town-2
