都道府県名,団体名拠点名,〒,住所
福島県,みなみ若葉エンゼル園,965-0841,会津若松市門田町日吉字小金井63
福島県,地域子育て支援センター,965-0853,会津若松市材木町一丁目3-15
福島県,親子のひろば,965-0861,会津若松市日新町16-36
福島県,博愛園子育て支援センター,965-0862,会津若松市本町8-40
福島県,南町保育園子育て支援センター,965-0874,会津若松市南花畑2-7
福島県,子育て支援センター,965-0876,会津若松市山鹿町4-37
福島県,アップル子育て支援センター,965-0878,会津若松市中町3-20
福島県,地域子育て支援センター「にじ」,966-0000,喜多方市字石田4041-2
福島県,田島保育園子育て支援センター,967-0004,南会津郡南会津町田島向川原甲1210-114
福島県,子育て支援センターぴよぴよクラブ,967-0004,南会津郡南会津町田島字向川原甲1210-114
福島県,びわのかげ子育て支援センター,967-0006,南会津郡南会津町永田字枇杷影1-1
福島県,舘岩幼稚園つどいの広場,967-0304,南会津郡南会津町舘岩字松戸原55
福島県,矢吹町子育て支援センターにこにこひろば,969-0236,西白河郡矢吹町一本木100-1
福島県,つどいの広場,969-0404,岩瀬郡鏡石町中央73
福島県,本宮市五百川幼保総合施設,969-1104,本宮市荒井字山神23-1
福島県,ＮＰＯ法人本宮いどばた会さくらんぼひろば,969-1203,本宮市字中條16 ｿﾚｲﾕ本宮2F
福島県,安達地域子育て支援センター,969-1404,二本松市油井字田向20
福島県,桑折町地域子育て支援センター,969-1600,伊達郡桑折町字桑島三11-21
福島県,国見町地域子育て支援センター,969-1700,伊達郡国見町大字山崎字舘東12-1
福島県,下郷町地域子育て支援センター,969-5300,南会津郡下郷町大字豊成字林中6610-3
福島県,会津美里町子育て支援センター,969-6200,大沼郡会津美里町字東川原3281
福島県,地域子育て支援センター,969-6500,河沼郡会津坂下町字松ﾉ目1596
福島県,プレイルーム,973-8408,いわき市内郷高坂町四方木田191
福島県,原町子育て支援センター,975-0002,南相馬市原町区東町三丁目7-4
福島県,かしま子育て支援センター,979-2334,南相馬市鹿島区西町三丁目90
茨城県,子育て支援センター白鳥保育園,300-0022,土浦市白鳥町1096-4
茨城県,子育て支援センター「さくらんぼ」,300-0031,土浦市東崎町4-7(東崎保育所内)
茨城県,子育て交流サロン「のぞみ」,300-0052,土浦市東真鍋町2番5号
茨城県,美並未来みなみ保育園,300-0127,かすみがうら市上大堤210-1
茨城県,霞ヶ浦保育園,300-0214,かすみがうら市坂4458-1
茨城県,阿見町地域子育て支援センター,300-0331,稲敷郡阿見町阿見4002−5
茨城県,あゆみ保育園地域子育て支援センター,300-0331,稲敷郡阿見町阿見4958-5
茨城県,子育て支援センター,300-0412,稲敷郡美浦村大字宮地1211番地2 地域交流館みほふれ愛ﾌﾟﾗｻﾞ内
茨城県,子育て支援センターひまわり,300-0509,稲敷市江戸崎乙1258 江戸崎保育園
茨城県,幸田保育園,300-0605,稲敷市幸田1349
茨城県,子育て交流サロン「わらべ」,300-0815,土浦市中高津一丁目19番20号
茨城県,子育て支援センター「ひまわり」,300-0836,土浦市烏山五丁目2263-8(めぐみ保育園内)
茨城県,子育て支援センター「ありんこくらぶ」,300-0837,土浦市右籾1681(土浦愛隣会保育所内)
茨城県,牛久みらい保育園,300-1201,牛久市東猯穴町1260-11
茨城県,ひたち野うしく保育園つくしんぼ,300-1201,牛久市東猯穴町1286-1
茨城県,牛久めぐみ保育園,300-1203,牛久市下根町774-1
茨城県,すくすく広場,300-1211,牛久市柏田町3-48-1 柏田第2街区公園隣り
茨城県,のびのび広場,300-1214,牛久市女化町859-3 牛久市総合福祉ｾﾝﾀｰ内
茨城県,牛久ふれあい保育園,300-1221,牛久市牛久町1606(向台小学校内)
茨城県,ふたばランド保育園,300-1234,牛久市中央5-5-2
茨城県,つつじが丘ふたばランド保育園,300-1236,牛久市田宮町199-1
茨城県,おひさまクラブ,300-1245,つくば市高崎643-9 みのり幼稚園内
茨城県,稲敷市子育て支援センターあいアイ,300-1411,稲敷市伊佐津3239番地1 ふれあいｾﾝﾀｰ内
茨城県,子育て支援センターつばさ,300-1416,稲敷市柴崎6626番地1 認定こども園つばさ
茨城県,藤代地域子育て支援センター,300-1512,取手市藤代700番地(藤代庁舎内1階)
茨城県,とね子育て支援センター,300-1622,北相馬郡利根町布川841-1 子育て支援課
茨城県,つくばみらい市（きらくやま子育て支援室）,300-2312,つくばみらい市神生530 きらくやま すこやか福祉館内
茨城県,認定こども園みらい平ふたばランド,300-2359,つくばみらい市紫峰ヶ丘1-10-4 
茨城県,つくばみらい市（おひさま）,300-2359,つくばみらい市紫峰ヶ丘4-4-1 みらい平ｺﾐｭﾆﾃｨｾﾝﾀｰ内
茨城県,富士見ケ丘認定こども園,300-2417,つくばみらい市富士見ヶ丘4-14-6
茨城県,つくばみらい市（フラワー）,300-2431,つくばみらい市上小目600 谷和原第2保育所
茨城県,つくばみらい市（小絹児童館）,300-2436,つくばみらい市絹の台3-1-4
茨城県,認定こども園きぬ学園子育て支援センター,300-2513,常総市羽生町946番地
茨城県,こどもの森クラブ,300-2631,つくば市沼崎3097-1 つくばこどもの森保育園内
茨城県,杉の子クラブ,300-2662,つくば市下河原崎4-208 島名杉の子保育園内
茨城県,さくら保育園子育て支援センター,300-2743,常総市岡田339番地
茨城県,みどりが丘保育園子育て支援センター,300-3516,結城郡八千代町高崎1069-1
茨城県,桜川市子育て支援センター（真壁）,300-4406,桜川市真壁町山尾604-1番地
茨城県,真壁保育園,300-4407,桜川市真壁町古城45
茨城県,子育て支援どんぐりキッズ,300-4541,筑西市松原152-1  まつばら保育園内
茨城県,たけのこ保育園子育て支援センター,300-4542,筑西市吉田653-1
茨城県,ときわ保育園地域子育て支援センター室,301-0002,龍ｹ崎市中根台4-17-2
茨城県,まつやま中央保育園「ねっこっこ」,301-0814,龍ｹ崎市高砂6691-1
茨城県,しらはね保育園子育て支援センター室,301-0841,龍ｹ崎市白羽1-5-2
茨城県,認定こども園「未就園児親子教室ちゅうりっぷ」,301-0842,龍ｹ崎市八代町2901 認定こども園 あいゆう園内
茨城県,さんさん館子育て支援センター,301-0854,龍ｹ崎市中里2丁目1番地1
茨城県,ながと夢保育園子育て支援センター室,301-0856,龍ｹ崎市貝原塚町3072-4
茨城県,白山地域子育て支援センター,302-0023,取手市白山5丁目16番8号 白山保育所内
茨城県,戸頭地域子育て支援センター,302-0034,取手市戸頭6丁目30番1号 戸頭北保育所内
茨城県,ねっこ（まつやま保育園）,302-0109,守谷市本町4210
茨城県,守谷市地域子育て支援センター,302-0117,守谷市野木崎1947番地の2
茨城県,認定こども園みつかいどう子育て支援センター,303-0003,常総市水海道橋本町3346番地
茨城県,水海道子育て支援センター,303-0033,常総市水海道高野町2081番地 水海道第三保育所内
茨城県,もみの木ふれあい広場,304-0005,下妻市半谷484番地2 旧もみの木保育園内
茨城県,あうるクラブ,304-0031,下妻市高道祖5160番地 西原保育園内
茨城県,チェリークラブ,305-0002,つくば市上野1302 さくら学園保育園内
茨城県,かつらぎクラブ,305-0831,つくば市西大橋457-2 かつらぎ保育園内
茨城県,あさひ保育園,306-0012,古河市旭町2-9-39
茨城県,第四保育所,306-0044,古河市新久田245-5
茨城県,第三保育所,306-0053,古河市中田1619
茨城県,もろかわ認定こども園,306-0126,古河市諸川1779-3
茨城県,白梅保育園,306-0215,古河市水海2356
茨城県,ネーブル子育て広場,306-0221,古河市駒羽根620番地 ﾈｰﾌﾞﾙﾊﾟｰｸ内
茨城県,こばと保育園,306-0225,古河市磯部1648-1
茨城県,ごか子育て支援センター,306-0313,猿島郡元栗橋1563-3 五霞保育園内
茨城県,たんぽぽクラブ,306-0314,猿島郡川妻494-2  五霞第一幼稚園内
茨城県,みどり,306-0400,猿島郡境町大字若林2342-1 はなぶさこども園
茨城県,支援室ぞう組,306-0400,猿島郡境町大字西泉田704-2 境いずみ保育園
茨城県,みんなの広場,306-0400,猿島郡境町大字長井戸1688-1 おおぞら保育園
茨城県,若草子育て支援センター,306-0501,坂東市逆井3503-14 若草明徳保育園
茨城県,さしま保育園子育てひろば,306-0504,坂東市生子2220
茨城県,あかつき保育園子育て支援センター,306-0621,坂東市大谷口1037 
茨城県,さくらの森,306-0626,坂東市小山123 小山保育園
茨城県,ふたば,306-0631,坂東市岩井2211-25 認定こども園ふたば
茨城県,岩井保育園子育て支援センター,306-0631,坂東市岩井2720-8
茨城県,キッズクラブ,306-0631,坂東市岩井4678-3  ｻﾝｷｯｽﾞ 
茨城県,ひまわり,306-0632,坂東市辺田1188-3 認定こども園ひまわり
茨城県,すずのき保育園子育てひろば,306-0645,坂東市長須3746
茨城県,みくに子育て支援センター,307-0001,結城市結城3073 みくに保育園内
茨城県,結城市子育て支援センター,307-0051,結城市国府町1-1-1 市民情報ｾﾝﾀｰ2階
茨城県,つくば子育て支援センター,307-0053,結城市新福寺2-8-1 つくば保育園内
茨城県,いずみ保育園子育て支援センター,308-0014,筑西市羽方186-1  いずみ保育園内
茨城県,筑西市子育て支援センター,308-0806,筑西市小林355 
茨城県,子ども家庭支援センター「つくし」,308-0825,筑西市下中山589-1 筑子保育園内
茨城県,かわしま子育て支援センター,308-0854,筑西市女方46-2 川島保育園内
茨城県,すくすく子育て支援センター,308-0857,筑西市小川1845 川島こども園内
茨城県,たちばな子育て支援センター「いっしょにあそぼ」,308-0866,筑西市五所宮384-2 橘保育園内
茨城県,子育て支援センターぴっぴ,309-1116,筑西市横塚795  ときわ保育園内
茨城県,みつばち,309-1615,笠間市金井83-1 かさまこども園内 
茨城県,杉山保育所,310-0011,水戸市三の丸3-12-5
茨城県,ひかり保育園,310-0055,水戸市袴塚1-5-18
茨城県,大町子育て支援・多世代交流ｾﾝﾀｰ,310-0062,水戸市大町3-4-30
茨城県,本町子育て支援・多世代交流ｾﾝﾀｰ,310-0815,水戸市本町1-8-2
茨城県,白梅保育所,310-0836,水戸市元吉田町3250-1
茨城県,ひので保育園,310-0836,水戸市元吉田町720-2
茨城県,すみよし保育園,310-0844,水戸市住吉町115-1
茨城県,ちゃいるどはうす保育園,310-0852,水戸市笠原町150
茨城県,めぐみ保育園,310-0911,水戸市見和2-198-5
茨城県,つぼみ,311-0105,那珂市菅谷661-15 地域子育て支援ｾﾝﾀｰ
茨城県,すくすくーる,311-0111,那珂市後台1854-1 ゆたか保育園
茨城県,さとみ保育園地域支援センター,311-0505,常陸太田市大中町 60-8
茨城県,海の子保育園,311-1202,ひたちなか市磯崎町4625-10
茨城県,堀川保育園,311-1228,ひたちなか市八幡町5-14
茨城県,柳沢保育園,311-1231,ひたちなか市柳沢454-3
茨城県,マーガレット広場,311-1301,東茨城郡大洗町磯浜町1131-6 親子ふれあいｾﾝﾀｰ｢きらきら｣
茨城県,旭すくすくクラブ,311-1403,鉾田市上釜934番地64 旭保育園
茨城県,うさぎっ子,311-1514,鉾田市安塚880番地102 青山保育園
茨城県,総合子どもセンターひまわり,311-1523,鉾田市串挽1347番地1 串挽保育園
茨城県,北浦こども園（ちびっ子広場）,311-1713,行方市中根309-1
茨城県,ほほえみひろば,311-2111,鉾田市上沢76番地1 大洋保育園
茨城県,わんぱくひろば,311-2112,鉾田市飯島334番地9 わんぱく保育園
茨城県,つどいの広場「ひよこサロン」,311-2204,鹿嶋市荒井370 - 1 旧大野北幼稚園
茨城県,子育て広場,311-2421,潮来市辻626 潮来市役所子育て支援課
茨城県,ひぬま保育園,311-3116,東茨城郡茨城町長岡3652-22
茨城県,ウィステリアナーサリースクール,311-3117,東茨城郡茨城町桜の郷231-8
茨城県,茨城町子育て支援センター,311-3131,東茨城郡茨城町小堤1037−1
茨城県,いばらき中央認定こども園,311-3131,東茨城郡茨城町小堤990 
茨城県,飯沼保育園,311-3153,東茨城郡茨城町上飯沼1276番地1
茨城県,さくら保育園,311-3157,東茨城郡茨城町小幡2162-3
茨城県,子育て支援センターきらら,311-3404,小美玉市飯前1252-3 さくら第2保育園
茨城県,さくらんぼ,311-3423,小美玉市小川370-6 さくら保育園
茨城県,玉里保育園,311-3435,小美玉市田木谷1068-1
茨城県,玉里第二保育園,311-3436,小美玉市上玉里1126-1
茨城県,玉造第三保育園（あい♡あい）,311-3501,行方市芹沢1652-5
茨城県,玉造第一保育園,311-3511,行方市玉造乙1027-1
茨城県,玉造第二保育園（つくしんぼ）,311-3514,行方市西蓮寺481
茨城県,ぽかぽかつどいの広場,311-4141,水戸市赤塚1-1水戸市福祉ﾎﾞﾗﾝﾃｨｱ会館内
茨城県,認定こども園ﾌﾟﾘﾝｾｽﾘﾘｰｳﾞｨｸﾄﾘｱﾅｰｻﾘｰ,311-4151,水戸市姫子2-751-17
茨城県,河和田保育所,311-4152,水戸市河和田3-2536-2
茨城県,子育てひろば,311-4300,東茨城郡城里町大字那珂西1481-17 常北保育園
茨城県,ぽかぽかサークル,311-4300,東茨城郡城里町大字石塚1232-2 みどり保育園
茨城県,地域子育て支援センター（御前山認定こども園）,311-4503,常陸大宮市野口1294
茨城県,なかや保育園,312-0001,ひたちなか市佐和612-3
茨城県,清心保育園,312-0002,ひたちなか市高野1782-5
茨城県,たんぽぽ保育園,312-0011,ひたちなか市中根4506-1
茨城県,金上保育園,312-0022,ひたちなか市金上1235-1
茨城県,あすなろ保育園,312-0025,ひたちなか市武田901-2
茨城県,つだ保育所,312-0032,ひたちなか市津田1950-1
茨城県,東石川保育所,312-0052,ひたちなか市東石川1495
茨城県,はなのわ保育園,312-0058,ひたちなか市西光地1-6-3
茨城県,たかば保育園,312-0062,ひたちなか市高場1615
茨城県,はすみ保育園地域支援センター,313-0014,常陸太田市木崎二町937
茨城県,愛保育園地域支援センター,313-0041,常陸太田市稲木町3
茨城県,太田さくら保育園地域支援センター,313-0061,常陸太田市中城町4451
茨城県,金砂郷保育園地域支援センター,313-0113,常陸太田市高柿町257-5
茨城県,鹿嶋市地域子育て支援センター,314-0012,鹿嶋市平井1187番地1 市役所第2庁舎1階
茨城県,つどいの広場「すくすく」,314-0031,鹿嶋市宮中4526 - 5 旧鹿島いずみ保育園舎
茨城県,軽野保育園子育て支援センター,314-0115,神栖市知手92-15 
茨城県,にこにこキッズ（きさき保育園）,314-0127,神栖市木崎2935 
茨城県,スマイル（神栖第二あおぞら園）,314-0131,神栖市下幡木742-1
茨城県,子育て支援センター（こばと保育園）,314-0133,神栖市息栖3031-186 
茨城県,ぴよぴよ保育園,314-0143,神栖市神栖3-11-3
茨城県,のびっこ（萬徳寺保育園）,314-0146,神栖市平泉2325-1
茨城県,平泉幼稚園,314-0146,神栖市平泉2769 
茨城県,あいいく（深芝保育園）,314-0148,神栖市深芝2503 
茨城県,子育て支援センター（まゆ保育園）,314-0255,神栖市砂山1014-301 
茨城県,泉ヶ丘地域子育て支援ｾﾝﾀｰ,315-0001,石岡市石岡2-19-7泉ヶ丘保育園内
茨城県,kids futaba,315-0012,石岡市北府中2丁目7番43号 国分台ふたば保育園内
茨城県,にこにこ,315-0031,石岡市東大橋1639-2 そとの保育園内
茨城県,わかくさの森,315-0033,石岡市東光台5-12-8 わかくさ保育園内
茨城県,ばらきの丘,315-0042,石岡市茨城1-12-21 ひかり保育園内
茨城県,プルミっこ保育園,315-0055,かすみがうら市稲吉南2丁目9-1
茨城県,のぞみ保育園,315-0072,かすみがうら市東野寺495-1
茨城県,石岡市地域子育て支援センター,315-0116,石岡市柿岡2155 石岡市立やさと中央保育所内
茨城県,つくしんぼ子育て支援活動,316-0001,日立市諏訪町3-12-19
茨城県,子育て支援センター（大久保幼稚園）,316-0012,日立市大久保町4-10-7
茨城県,多賀さくら認定こども園子育て支援センター,316-0014,日立市東金沢町4-2-1
茨城県,子育て支援センター（水木わかば幼稚園）,316-0024,日立市水木町1-20-12
茨城県,森山聖徳保育園子育て支援センター,316-0025,日立市森山町3-17-1
茨城県,日立市子どもセンター,316-0032,日立市西成沢町2-4-20
茨城県,滑川聖徳こどもセンター,317-0051,日立市滑川本町1-15-6
茨城県,子どもすくすくセンター,317-0064,日立市神峰町1-10-1
茨城県,子育て支援センター（せいじ園）,317-0065,日立市助川町1-16-1
茨城県,こどもの広場,317-0065,日立市助川町1丁目15−15 日立市保健ｾﾝﾀｰ内
茨城県,松ヶ丘認定こども園,318-0003,高萩市下手綱825番地3
茨城県,同仁東保育園,318-0013,高萩市高浜町2-35
茨城県,"子育て支援センター
あおぞら保育園
［わんぱくルーム］",318-0021,高萩市安良川1251-1
茨城県,萩っ子つどいの広場,318-0031,高萩市春日町3-10 総合福祉ｾﾝﾀｰ2階
茨城県,にこにこ広場,319-0105,小美玉市鶴田136-5 太陽保育園
茨城県,四季の杜保育園地域子育て支援センター,319-0106,小美玉市堅倉1570-6 
茨城県,わくわくルーム,319-0123,小美玉市羽鳥2719-36 ﾐｰﾑ保育園
茨城県,はとり保育園,319-0123,小美玉市羽鳥2815-1
茨城県,ぴょんぴょんクラブ,319-0134,小美玉市納場111-1 納場保育園
茨城県,くりのこ,319-0202,笠間市下郷5140 市民ｾﾝﾀｰいわま1階
茨城県,内原保育所,319-0315,水戸市内原町720-1
茨城県,長堀すこやかハウス,319-1100,那珂郡東海村大字村松2116-1
茨城県,子育て支援センター（とうかい村松宿こども園）,319-1100,那珂郡東海村大字村松3370-1
茨城県,子育て支援センター（百塚保育所）,319-1105,那珂郡東海村豊岡1831-2
茨城県,子育て支援センター（おおぞら保育園）,319-1112,那珂郡東海村村松2822-1
茨城県,"子育て支援センター
（みぎわ保育園）",319-1114,那珂郡東海村須和間1299-4
茨城県,子育て支援センター（サンフラワーこどもの森保育園）,319-1115,那珂郡東海村船場718-3
茨城県,子育て支援ポランサークル（チューリップ保育園）,319-1115,那珂郡東海村船場784-4
茨城県,南部子どもの広場,319-1222,日立市久慈町3-24-1
茨城県,いしまち認定こども園子育て支援センター,319-1301,日立市十王町伊師3447-1
茨城県,十王子どもの広場,319-1304,日立市十王町友部129-2
茨城県,子育て支援センター（十王幼稚園）,319-1304,日立市十王町友部566
茨城県,豊浦さくら保育園子育て支援センター,319-1412,日立市折笠町447-1
茨城県,小木津聖徳こどもセンター,319-1413,日立市小木津町2-2-11
茨城県,親子たんぽぽクラブ（こどものいえ認定こども園）,319-1414,日立市日高町1-14-11
茨城県,とくふう子育て支援センター,319-1416,日立市田尻町7-13-1
茨城県,エンゼル,319-1541,北茨城市磯原町磯原798 磯原保育園内
茨城県,AIAI,319-1702,北茨城市大津町1353 大津保育園内
茨城県,ちいろば,319-2102,那珂市瓜連1222 瓜連保育園
茨城県,地域子育て支援センター（さくら保育園）,319-2142,常陸大宮市上岩瀬382
茨城県,地域子育て支援センター（大宮聖愛保育園）,319-2261,常陸大宮市上町367-7
茨城県,地域子育て支援センター（緒川げんき保育園）,319-2402,常陸大宮市下小瀬398
茨城県,地域子育て支援センター（山方保育所）,319-3111,常陸大宮市山方3360
茨城県,大子町子育て支援センター,319-3500,久慈郡大子町大字大子866 福祉課
栃木県,子育てサロンとまつり,320-0056,宇都宮市戸祭1-4-12
栃木県,子育てサロン宝木,320-0072,宇都宮市若草2-3-31
栃木県,子育てサロンやよい,320-0837,宇都宮市弥生1-6-3
栃木県,子育てサロン西部,320-0851,宇都宮市鶴田町970-1
栃木県,子育てサロン北雀宮,321-0139,宇都宮市若松原2-18-30
栃木県,子育て支援センター☆ひよこ☆,321-0214,壬生町大字壬生甲3843-1 (壬生町保健福祉ｾﾝﾀｰ)
栃木県,子育てサロンゆずのこ,321-0407,宇都宮市松田新田町483
栃木県,子育て支援センターきらきら,321-0521,那須烏山市岩子152-1 (にこにこ保育園)
栃木県,なのはな,321-0627,那須烏山市南1-562-12 (こども館)
栃木県,子育てサロン石井,321-0912,宇都宮市石井町2989
栃木県,子育てサロンみずほの,321-0913,宇都宮市上桑島町1311-25
栃木県,子育てサロン中央,321-0964,宇都宮市駅前通り1-4-6 ﾗﾗｽｸｴｱ9階 保健ｾﾝﾀｰ内
栃木県,子育てサロン竹林,321-0974,宇都宮市竹林町226
栃木県,子育てサロンとよさとなかよし広場,321-0975,宇都宮市関堀町53-5
栃木県,日光親子ふれあいひろば,321-1435,日光市花石町1942-1 (日光福祉保健ｾﾝﾀｰ)
栃木県,鬼怒川親子ふれあいひろば,321-2613,日光市藤原19 (藤原保健ｾﾝﾀｰ)
栃木県,子育てひろばぴよぴよ,321-3307,芳賀町祖母井南1丁目11番地1 (ﾓﾃﾅｽ芳賀)
栃木県,子育て支援センターこあらぐみ,321-3423,市貝町市塙1777-1 (市塙保育所)
栃木県,すくすく広場,321-3566,茂木町大字小井戸5 (茂木保育園)
栃木県,やわらぎ子育て支援センター（やわらぎ保育園）,321-4106,益子町大字七井3923-3
栃木県,真岡市第一子育て支援センター,321-4325,真岡市田町14-4
栃木県,にのみや保育園子育て支援センター,321-4522,真岡市久下田西1-1 (にのみや保育園)
栃木県,ベリーサロン,322-0026,鹿沼市茂呂1884-3 (茂呂保育園)
栃木県,ひまわりサロン,322-0043,鹿沼市万町919 (こじか保育園)
栃木県,あおぞらサロン,322-0302,鹿沼市深程116-1 (清洲保育園)
栃木県,栃木市地域子育て支援センターにしかた,322-0603,栃木市西方町本郷516-2 (認定西方なかよしこども園)
栃木県,いちごクラブ,323-0007,小山市松沼121-1 (小山西保育園)
栃木県,えくぼちゃんクラブ,323-0012,小山市羽川456-4 (さくら保育園)
栃木県,子育てひろばすまいる,323-0025,小山市城山町3-7-5 (城山･ｻｸﾗ･ｺﾓﾝ内)
栃木県,こぐまクラブ,323-0820,小山市西城南5-6-3 (こぐま保育園)
栃木県,ミッキークラブ,323-0826,小山市雨ヶ谷417 (こばと保育園)
栃木県,栃木市地域子育て支援センターふじおか,323-1102,栃木市藤岡町赤麻502-1 (藤岡保健福祉ｾﾝﾀｰ内)
栃木県,つどいの広場さくやま,324-0032,大田原市佐久山2268-1
栃木県,しんとみ子育て支援センター,324-0055,大田原市新富町3-6-8 
栃木県,つどいの広場トコトコ,324-0056,大田原市中央1-3-15
栃木県,くろばね子育て支援センター,324-0235,大田原市堀之内641-1 
栃木県,ゆづかみ子育て支援センター,324-0403,大田原市湯津上3724-1
栃木県,サンサンひろば,325-0017,那須塩原市黒磯6-44 (ｺﾒｯﾄ保育園)
栃木県,子育て支援室もこもこ,325-0023,那須塩原市豊浦12-209 (友里かご保育園)
栃木県,なかよしひろば,325-0042,那須塩原市桜町1-5 (いきいきふれあいｾﾝﾀｰ内)
栃木県,やまがわ子育て支援センター,326-0021,足利市山川町84-2 (山川こども館)
栃木県,にし子育て支援センター,326-0102,足利市板倉町395 (板倉ふれあい児童館)
栃木県,にしこども館ふれあい広場,326-0141,足利市小俣町1508-5 
栃木県,梁田こども館ふれあい広場,326-0331,足利市福富町894-1 
栃木県,子育て支援室おひさま,326-0337,足利市島田町805
栃木県,さいこう子育て支援センター,326-0817,足利市西宮町2838 (さいこうふれあいｾﾝﾀｰ)
栃木県,親子のくつろぎスペースしゃんしゃん広場,326-0822,足利市田中町943-11
栃木県,八幡こども館ふれあい広場,326-0824,足利市八幡町2-30
栃木県,子育て支援NPOre. （リードット）,327-0104,佐野市赤見町2041 (あかみ幼稚園)
栃木県,ぴよぴよルームたぬま,327-0306,佐野市戸室町692 (たぬま保育園)
栃木県,ぴよぴよルームくずう,327-0501,佐野市葛生東1-15-20 (くずう保育園)
栃木県,地域子育て支援センターさくらんぼ,327-0804,佐野市犬伏下町2424-1 (大栗保育園)
栃木県,地域子育て支援センターつめくさ,327-0821,佐野市高萩町1319-1 (風の子保育園)
栃木県,救世軍佐野保育園子育て支援,327-0831,佐野市浅沼町182 (救世軍佐野保育園)
栃木県,佐野市子育て支援まちなかプラザ,327-0846,佐野市若松町481-4
栃木県,ひがしのもり保育園子育て支援センター,328-0011,栃木市大宮町1648-3 
栃木県,けやき保育園子育て支援センター,328-0033,栃木市城内町2-18-13 
栃木県,こども園さくら子育て支援センター,328-0062,栃木市泉川町651-1 
栃木県,栃木市地域子育て支援センター,328-0075,栃木市箱森町36-31 (とちぎｺﾐｭﾆﾃｨﾌﾟﾗｻﾞ)
栃木県,栃木市地域子育て支援センターつが,328-0103,栃木市都賀町原宿2263-1 (よつば保育園)
栃木県,にこにこクラブ,329-0111,野木町大字丸林312-4 (いちご保育園)
栃木県,げんきっこくらぶ,329-0112,野木町大字南赤塚842-20 (りんご保育園)
栃木県,マロンの家,329-0203,小山市大字西黒田480-3 (黒田保育園)
栃木県,子育て支援センターつくし,329-0414,下野市小金井789番地 (ゆうゆう館)
栃木県,子育て支援センターゆりかご,329-0431,下野市薬師寺1584番地6 (あおば保育園)
栃木県,子育て支援センターみるく,329-0502,下野市下古山3025番地1 (わかば保育園内)
栃木県,子育てサロンなかよし,329-1102,宇都宮市白沢町396-2
栃木県,子育て支援センター「れんげそう」,329-1217,高根沢町太田625-3 (にじいろ保育園)
栃木県,児童館「きのこのもり」,329-1225,高根沢町石末2247-2
栃木県,児童館「みんなのひろば」,329-1233,高根沢町宝積寺1145-1
栃木県,にこにこサロン,329-1303,さくら市松山796-1 (たいよう保育園)
栃木県,上松山子育て支援センター どんぐりひろば,329-1311,さくら市氏家3776-2 (上松山児童ｾﾝﾀｰ)
栃木県,氏家子育て支援センターおひさまひろば,329-1321,さくら市馬場96-1 (氏家児童ｾﾝﾀｰ)
栃木県,サンサンサロン,329-1324,さくら市草川42 (あおぞら保育園)
栃木県,わくわくサロン,329-1332,さくら市蒲須坂595-2 (ｱｯﾌﾟﾙ保育園)
栃木県,喜連川子育て支援センターひまわり,329-1412,さくら市喜連川3936-1 (喜連川児童ｾﾝﾀｰ)
栃木県,子育て支援センターMori,329-1576,矢板市石関1181-5 (こどもの森こころ保育園)
栃木県,子育て支援センターつくしんぼひろば,329-2142,矢板市木幡289 (つくし保育園)
栃木県,子育て支援センターぴっころクラブ,329-2145,矢板市富田530-4 (ぴっころ保育園)
栃木県,塩谷町子育て支援センター,329-2221,塩谷町大字玉生1057-83 (認定しおやこども園)
栃木県,子育て支援にじ,329-2742,那須塩原市東赤田343-158 (ほし保育園)
栃木県,リリールーム,329-2754,那須塩原市西大和6-5 (こひつじ保育園)
栃木県,きらっとルーム,329-2801,那須塩原市関谷1173-1 (ひまわり保育園)
栃木県,那須町子育て支援センター,329-3215,那須町大字寺子乙2566-1 ゆめﾌﾟﾗｻﾞ那須
栃木県,栃木市地域子育て支援センターいわふね,329-4307,栃木市岩舟町静5133-1 (いわふね保育園内)
栃木県,フォレストキッズ保育園子育て支援センター,329-4407,栃木市川連509-5 
栃木県,栃木市地域子育て支援センターおおひら,329-4423,栃木市大平町西水代1704-4 (大平みなみ児童館)
群馬県,Ｋｉｄｓ２１（いず海第一こども園）,370-0046,高崎市江木町163-6
群馬県,みんなの木（慈光保育園）,370-0053,高崎市通町90
群馬県,おひさま子育て広場（おひさま飯塚保育園）,370-0069,高崎市飯塚町733-6
群馬県,ほほえみ（中川保育所）,370-0071,高崎市小八木町37-1
群馬県,すくすくサロン（あづま保育園）,370-0081,高崎市浜川町2046
群馬県,すみれ保育園,370-0127,伊勢崎市境上武士983-3
群馬県,生品保育園,370-0314,太田市新田市野井町135-3
群馬県,新田第一保育園,370-0332,太田市新田中江田町985
群馬県,綿打保育園,370-0342,太田市新田上江田町767-1
群馬県,おじま第一保育園,370-0411,太田市亀岡町240-1
群馬県,みよし保育園,370-0523,邑楽郡大泉町吉田956
群馬県,風の子保育園,370-0603,邑楽郡邑楽町中野2204-1
群馬県,中央保育園,370-0603,邑楽郡邑楽町中野4398-1
群馬県,明和こども園,370-0707,邑楽郡明和町田島8-1
群馬県, プチポムクラブ（鉢の木保育所）,370-0857,高崎市上佐野町609-2
群馬県,石原第一保育園,370-0864,高崎市石原町1245 
群馬県,あゆみプラザ（みどり岡保育園）,370-0873,高崎市下豊岡町1353-1 
群馬県,玉村町地域子育て支援センター,370-1132,佐波郡玉村町下新田176
